time,open,high,low,close,MA,MA,MA,MA,MA,MA,Relative Strength Line,Relative Strength Line MA,PlotCandle (開盤價),PlotCandle (最高價,PlotCandle (最低價),PlotCandle (關閉),Shapes,Volume,Volume MA,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2016-12-27,29.13,29.45,29.1225,29.315,26.512575000000005,26.826983333333377,28.220050000000047,28.421499999999963,29.072249999999997,29.20400000000002,38.84856810923275,38.337113893903975,,,,,0,73187420,129277706.96,67.46940377561815,63.280816233443765,,,,,,
2016-12-28,29.38,29.50415,29.05,29.19,26.527800000000003,26.855550000000044,28.216100000000047,28.487749999999966,29.111499999999996,29.194500000000023,38.59613553823913,38.360661316116264,,,,,0,83623568,129060186.64,64.04637150781559,64.23818318559911,,,,,,
2016-12-29,29.1125,29.277375,29.1,29.1825,26.541250000000005,26.88275000000004,28.21240000000005,28.565374999999968,29.149999999999995,29.17800000000002,38.91138351585834,38.41072697063827,,,,,0,60158076,128299069.92,63.837098510757976,64.87189007468155,,,,,,
2016-12-30,29.1625,29.3,28.8575,28.955,26.553775,26.908533333333377,28.205900000000053,28.644499999999965,29.149999999999995,29.15450000000002,38.619368147746364,38.42969435037537,,,,,0,122345060,129143203.6,57.6803505410307,64.62615138381312,,,57.6803505410307,,,
2017-01-03,28.95,29.0825,28.69,29.0375,26.5665625,26.93568333333338,28.20135000000005,28.722624999999972,29.154499999999995,29.136000000000017,38.909832367799254,38.47334326105027,,,,,0,115127460,129515688.72,59.216453944837234,64.70704907400491,,,,,,
2017-01-04,28.9625,29.1275,28.9375,29.005,26.5792,26.964950000000044,28.19845000000005,28.80899999999997,29.138999999999992,29.07400000000002,38.53921685866518,38.47933176992435,,,,,0,84472464,129349724.8,58.31840883620952,64.32069978531901,,,,,,
2017-01-05,28.98,29.21605,28.9525,29.1525,26.5915625,26.99643333333338,28.193250000000052,28.89224999999997,29.130499999999994,29.066500000000012,38.514807882858086,38.482556871100144,,,,,0,88774348,129242117.92,61.1947449843241,64.1398030786413,,,,,,
2017-01-06,29.195,29.54,29.1175,29.4775,26.606287499999997,27.029750000000043,28.191550000000053,28.978249999999967,29.151749999999993,29.125500000000017,38.974217717055964,38.52725331164158,,,,,0,127007600,127931952.32,66.65488298849024,64.22073484095701,,,,,,
2017-01-09,29.4875,29.8575,29.485,29.7475,26.6229375,27.063683333333376,28.208550000000056,29.064124999999972,29.21925,29.284000000000013,39.193361382181656,38.587808590781584,,,,,0,134247792,125326170.64,70.383226416044,64.53712721765085,,,,,,
2017-01-10,29.6925,29.845,29.575,29.7775,26.6403375,27.097150000000045,28.231700000000057,29.12862499999997,29.284,29.432000000000016,39.37260346423376,38.65915357927724,,,,,0,97848204,124518171.12,70.77423982771943,64.7432412622574,,,,,,
2017-01-11,29.685,29.9825,29.65,29.9375,26.655425,27.131833333333375,28.26185000000006,29.20924999999997,29.346249999999998,29.61850000000002,39.584159724976864,38.743245047068115,,,,,0,110354372,123696325.6,72.83420438787181,65.03333215494932,,,,,72.83420438787181,
2017-01-12,29.72375,29.825,29.5525,29.8125,26.667537499999998,27.164500000000043,28.290400000000055,29.259999999999973,29.408499999999997,29.750500000000017,39.30765782395443,38.794555299512325,,,,,0,108344880,123749671.36,68.7567954224415,65.0089517575051,,,,,,
2017-01-13,29.7775,29.905,29.7025,29.76,26.680100000000003,27.198183333333375,28.328150000000054,29.308124999999972,29.466249999999995,29.807000000000016,39.32277444019661,38.842575221392714,,,,,0,104447792,122332562.24,67.058791880795,65.22254156875229,,,,,,
